work_location,company,job_title,skills,id
"Tunis,  Tunisia",VERMEG for Banking & Insurance Software · ,software programmer,"java, c++, agile methodology, software design patterns, springboot",0
"Tunis,  Tunisia",Consulting @ Logiciels & Systèmes · Stage,web developer internship,"html, css, javascript, php, responsive design, react, node.js",1
"Tunis,  Tunisia",RBB Africa · Stage,web developer,"html, css, javascript, php, responsive design, javascript, angular, typescript",2
"La Marsa,  Tunisia",VERMEG for Banking & Insurance Software · Contrat en alternance,software developer,"agile methodology, software design patterns, .net, c#",3
"Dar Chaabane,  Nabeul, Tunisia",VERMEG for Banking & Insurance Software,software development engineer,"css, html, .net, c#, agile methodology, software design patterns",4
"Dar Chaabane,  Nabeul, Tunisia",VERMEG for Banking & Insurance Software · Stage,support intern,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",5
"Dar Chaabane,  Nabeul, Tunisia",INTERCOM Technologies · Stage,springboot intern,"software troubleshooting, networking, springboot, java, rest api",6
Tunisia,VERMEG for Banking & Insurance Software,software developer front,"angular, typescript, agile methodology, software design patterns",7
"Mongi Slim,  Ben Arous, Tunisia",SMARTDEV,freelancer,"search engine optimization seo, social media management, email marketing, content creation, analytics and reporting",8
"Mongi Slim,  Ben Arous, Tunisia",Allence Tunisie,senior software engineering,"agile methodology, software design patterns, springboot, java, angular, .net, c#",9
"Mongi Slim,  Ben Arous, Tunisia",SAGEMCOM,test validation engineer,"test planning, test automation, agile methodology, software troubleshooting, networking, software testing, test, java",10
"Mongi Slim,  Ben Arous, Tunisia",SAGEMCOM,support internship,"hardware troubleshooting, software troubleshooting, customer service, remote support, networking",11
Tunisia,VERMEG for Banking & Insurance Software · ,business analyst quality assurance,"tableau, power bi, data warehousing, etl, business intelligence",12
Tunisia,Mindbus,qa software engineer,"test planning, test automation, regression testing, load testing, bug tracking",13
Tunisia,Progress RH Tunisie,net developer,".net, c#, agile methodology, software design patterns, apis, rest",14
" Ben Arous, Tunisia",VERMEG for Banking & Insurance Software · Contrat en alternance,software development,"java, python, c++, agile methodology, software design patterns, rest api",15
" Ben Arous, Tunisia",Hult Prize Foundation,project manager,"project management, agile methodologies, team leadership, budgeting, risk management",16
 Tunisia,VERMEG for Banking & Insurance Software,software engineer,"java, springboot, apis, agile methodology, software design patterns, test planning, test automation",17
 Tunisia,ATS - Digital Dev,mean stack developer internship,"python, django, agile methodology, software design patterns, back-end, front-end",18
